ECONOMY_NAME,promedio_anio_2025,promedio_IN_2025,promedio_OUT_2025,ISO3,GII_Score_2025,GII_Rank_2025,promedio_anio_2024,promedio_IN_2024,promedio_OUT_2024,GII_Score_2024,GII_Rank_2024,promedio_anio_2023,promedio_IN_2023,promedio_OUT_2023,GII_Score_2023,GII_Rank_2023,promedio_anio_2022,promedio_IN_2022,promedio_OUT_2022,GII_Score_2022,GII_Rank_2022,promedio_anio_2021,promedio_IN_2021,promedio_OUT_2021,GII_Rank_2021,GII_Score_2021,POP_2025,PPPGDP_2025,PPPPC_2025,POP_2024,PPPGDP_2024,PPPPC_2024,POP_2023,PPPGDP_2023,PPPPC_2023,POP_2022,PPPGDP_2022,PPPPC_2022,POP_2021,PPPPC_2021
Sweden,2023.3066,2023.2157,2023.5,SWE,62.5781910502956,2,2022.2667,2022.1569,2022.5,64.52436541192191,2,2021.1428,2020.9615,2021.52,64.2230052015604,2,2020.1154,2020,2020.3462,61.55761251792931,3,2018.9231,2018.8077,2019.1538,2,63.104889292381,10607,763.5890000000001,71730.78999999999,10551.48,715.995,66209.34,10549.35,684.458,63877.42,10160,609.5,57425,10099.27,52476.53
Switzerland,2023.0526,2022.8654,2023.4584,CHE,65.9619514450125,1,2022.1333,2021.9608,2022.5,67.47308168602341,1,2020.8701,2020.6346,2021.36,67.5888136106804,1,2019.859,2019.8077,2019.9615,64.6214149596122,1,2018.7949,2018.6923,2019,1,65.48442722176109,8921.98,851.136,95836.64,8870.559999999999,788.335,89537.32000000001,8740.469999999999,737.838,84468.91,8715,677.3,78112,8654.620000000001,68339.7
Tajikistan,2022.4263,2022.2565,2022.7273,TJK,20.174923125853,108,2021.5,2021.3684,2021.7273,18.6020945976823,107,2020.5469,2020.4147,2020.7826,18.2998640130383,111,2019.418,2019.2325,2019.75,18.7675585456016,104,2018.2727,2018.1163,2018.5652,103,23.8651486062837,10590.93,56.367,5532.77,10389.81,53.679,5360.89,9952.790000000001,47.241,4802.83,9750,37.9,3923,9537.639999999999,3559.52
Tanzania,2022.8549,2022.9767,2022.579,TZA,17.4521317801997,121,2021.8226,2021.814,2021.8422,15.3264215864416,120,2020.4154,2020.1555,2021,17.3992075932458,113,2019.3485,2019.1111,2019.8572,19.42706610226238,103,2018.2687,2018,2018.9,90,25.5957047318114,68560.16,269.672,4134.12,66617.61,227.725,3595.1,65497.75,207.55,3374.25,61498,182.9,3062,59734.21,2850.63
Thailand,2023.0526,2022.8628,2023.4399,THA,36.6722982832117,45,2021.9066,2021.7255,2022.2916,36.8870725902806,41,2020.4684,2020.0377,2021.3462,37.1035936772006,43,2019.45,2019.1321,2020.0741,34.85962155019598,43,2018.475,2018.1852,2019.0769,43,37.1802468061945,71668.00999999999,1771.532,25211.77,71702.42999999999,1578.45,22490.57,71697.03,1479.64,21114.18,69951,1331,19028,69799.98,18072.85
Togo,2022.8036,2022.6,2023.1428,TGO,18.0708251688273,117,2021.8474,2021.5,2022.4762,15.6192097566314,117,2020.75,2020.2894,2021.5454,16.9390789021705,114,2019.3115,2018.875,2020.1428,15.05542737846373,122,2018.3334,2018.119,2018.762,125,19.32803894851,9515.23,30.563,3289.86,9304.34,25.103,2767.56,8848.700000000001,22.781,2618.52,8478,20,2353,8278.74,1639.57
Trinidad and Tobago,2022.7667,2022.4359,2023.381,TTO,19.2509717907395,114,2021.8689,2021.5853,2022.45,18.4132639467783,108,2020.8387,2020.5,2021.55,20.7239387011483,102,2019.4166,2019.2683,2019.7368,19.78963490096495,101,2018.381,2018.1628,2018.85,97,24.7553209443696,1507.78,49.967,34987.23,1502.95,43.658,30718.75,1531.04,42.136,29797.28,1403,35.9,25526,1399.49,25964.39
Tunisia,2022.3199,2021.9608,2023.0834,TUN,26.9867919028168,76,2021.3684,2020.9615,2022.25,25.353750006398,81,2020.3376,2019.9434,2021.2084,26.9165805329607,79,2019.3199,2019.0385,2019.9565,27.88754228819927,73,2018.4342,2018.2407,2018.9091,71,30.6818886721134,12277.11,176.873,14338.49,12200.43,162.097,13248.95,12356.12,151.495,12490.2,11936,128.8,10720,11818.62,10381.68
Turkey,2023.2078,2023.0577,2023.52,TUR,37.2017171076035,43,2022.1818,2022.0193,2022.52,39.0040456384696,37,2021.1519,2020.9623,2021.5385,38.6056288173597,39,2020.125,2020.0189,2020.3334,38.13935059338692,37,2019.0253,2018.9615,2019.1482,41,38.3430565815416,87473.81,3456.771,40283.31,87270.5,3613.54,41887.53,85341.24000000001,3320.99,38759.39,85043,2873.8,33963,84339.07000000001,28293.6
Uganda,2022.7097,2022.317,2023.4762,UGA,17.0672701323701,124,2021.2699,2020.6904,2022.4286,14.9445218165676,121,2020.197,2019.6591,2021.2727,15.9882589951247,121,2019.2424,2018.7556,2020.2858,15.66329031304508,119,2018.2969,2017.9535,2019,119,20.007263454717,50015.09,170.611,3641.79,48656.61,145.157,3222.4,47249.59,132.01,3018.46,47124,115.9,2729,45741,2585.22
Ukraine,2022.8534,2022.5962,2023.4348,UKR,29.6910120248977,66,2021.88,2021.6538,2022.3914,29.4980452221873,60,2020.6666,2020.4038,2021.2609,32.82140187124,55,2019.7922,2019.6346,2020.12,31.01917974275387,57,2018.75,2018.6296,2019,49,35.5823958831452,37860.22,655.583,19603.12,37732.88,474.773,14303.98,39701.74,,,43467,584.1,14146,43733.76,12710.37
United Arab Emirates,2023.0394,2022.8235,2023.48,ARE,44.1544888281242,30,2021.8948,2021.6078,2022.48,42.8040062426875,32,2021.1299,2020.9608,2021.4615,43.2200164120417,32,2020.0389,2019.902,2020.3077,42.13084622644993,31,2018.9606,2018.86,2019.1538,33,43.0289017995526,11027.13,849.778,77251.44,10667.12,895.1660000000001,88961.77,9441.129999999999,814.7329999999999,77272.3,9991,699.4,74245,9890.4,58466.01
United Kingdom,2023.1052,2022.9231,2023.5,GBR,59.1153757105143,6,2022.08,2021.8823,2022.5,61.0493179555689,5,2020.948,2020.6731,2021.52,62.4444639626751,4,2019.8975,2019.7307,2020.2307,59.72799247439278,4,2019.0129,2018.9412,2019.1538,4,59.8025841246962,69138.19,4282.173,62573.61,68682.99000000001,3871.79,56835.72,67508.94,3776.04,55862.09,68207,3276.1,48693,67886,44287.92
United States,2023.2764,2023.1538,2023.5416,USA,61.6892112586677,3,2022.28,2022.1765,2022.5,62.3793369435429,3,2021.1948,2021.0193,2021.5601,63.5260539962626,3,2020.1299,2020.0193,2020.36,61.77697386827299,2,2018.948,2018.8269,2019.2,3,61.2972835594547,345426.57,29167.779,86601.28,343027.25,26949.64,80412.41,338289.86,25035.16,75179.59,332915,22939.6,69375,331002.65,63051.4
Uruguay,2023.0845,2023.0613,2023.1364,URY,28.837903949844,68,2021.8611,2021.92,2021.7273,29.1308891563885,62,2020.7733,2020.8269,2020.6522,30.0349417178131,63,2019.6487,2019.76,2019.4166,29.21244867533116,64,2018.5325,2018.5385,2018.52,65,32.2333614131012,3386.59,123.223,34440.2,3388.08,103.372,28983.79,3422.79,96.81,27232.79,3485,84.59999999999999,23869,3473.73,21338.18
Uzbekistan,2022.9868,2022.7693,2023.4584,UZB,26.4975536868541,79,2021.9474,2021.7115,2022.4584,24.704469057362,83,2020.9714,2020.7391,2021.4166,26.2096932916401,82,2019.9403,2019.8,2020.2273,25.30629711570547,82,2018.8677,2018.7556,2019.0869,86,27.390686926828,36361.86,428.204,11596.42,35652.3,371.646,10316.37,34627.65,334.318,9478.459999999999,33936,291.2,8452,33469.2,7378.01
Venezuela (Bolivarian Republic of),2022.5536,2022.2433,2023.1578,VEN,13.7306121669038,136,,,,,,,,,,,,,,,,,,,,,28405.54,222.356,8403.84,,,,,,,,,,,
Viet Nam,2022.5526,2022.1923,2023.3334,VNM,37.0799641407315,44,2021.8134,2021.5098,2022.4584,36.1813352047061,44,2020.3116,2020.0385,2020.88,35.9579779485015,46,2019.6709,2019.4038,2020.1852,34.24902255874186,48,2018.7341,2018.6731,2018.8518,44,37.0193852315019,100987.68,1631.796,16193.27,100352.19,1434.21,14285.09,98186.86,1299.69,13074.99,98169,1141.3,11608,97338.58,10754.53
Yemen,,,,YEM,,,,,,,,,,,,,2018.1356,2017.6316,2019.0476,13.76230372525079,128,2017.9207,2017.5366,2018.6364,131,15.3644046117256,,,,,,,,,,30491,60.8,1827,29825.97,1931.13
Zambia,2023.0526,2023.0264,2023.1052,ZMB,19.5785875330671,112,2021.8214,2021.6487,2022.1578,15.6647721593439,116,2020.8948,2020.7838,2021.1,16.4385970012329,118,2019.705,2019.475,2020.1428,15.8002209552552,118,2018.6825,2018.4762,2019.0952,121,19.8309388146615,21314.96,88.56,4190.27,20723.97,83.687,4068.44,20017.68,76.325,3808.05,18921,66.40000000000001,3410,18383.96,3302.3
Zimbabwe,2022.5,2022.3513,2022.7391,ZWE,15.3775674107897,129,2021.7581,2021.4615,2022.2609,15.5746191997639,118,2020.0308,2019.6666,2020.6957,16.5257183994291,117,2018.8125,2018.439,2019.4783,18.09555580131954,107,2018.2,2017.9773,2018.6666,113,21.8941921084529,16634.37,86.16200000000001,5070.61,16340.84,44.448,2749.78,16320.54,40.408,2554.73,15092,37.3,2408,14862.93,2583.01
